# Index of migration data sources. Rendered from scripts/migration/sources.py; do not edit by hand.
# 'metrics' and 'limits' hold pipe-separated lists.
id	name	family	publisher	unit	coverage	years	cadence	access	fmt	api	licence	network	metrics	limits	url	checked
oecd-crs	OECD DAC Creditor Reporting System	actors	OECD Development Assistance Committee	donor x recipient x year x sector x project, aid commitments and disbursements	All DAC donors plus many non-DAC reporters	1973 onward, detailed from 2002	Annual	Open bulk download and SDMX	CSV, SDMX	Yes	OECD terms, free	Donor country -> recipient country weighted aid network, filterable to migration and refugee sectors.	aid by purpose code, including refugee support | in-donor refugee costs, reported as aid | channel of delivery: which NGO or multilateral implemented it | commitments and gross disbursements	In-donor refugee costs are counted as aid to the recipient country, which means a donor can raise its aid figure by hosting refugees at home. Any analysis that sums 'aid for migration' without excluding this is measuring domestic spending. | Two-year publication lag. | Purpose codes are assigned by the donor and applied inconsistently.	https://www.oecd.org/en/data/datasets/creditor-reporting-system.html	not fetched
ecosoc-icso	UN ECOSOC consultative status database (iCSO)	actors	UN Department of Economic and Social Affairs	NGO profile: name, country, status, year granted, areas of work	~6,500 NGOs with consultative status	1946 onward	Continuous	Open web database; scraping needed for bulk	Web, HTML	No	UN terms	Bipartite NGO-to-UN-body accreditation, which projects to an NGO co-accreditation network. A cleaner organisational spine than Wikipedia categories, with a country on every node.	consultative status: general, special, roster | country of headquarters and countries of operation | areas of work including migration and refugees | year status granted	Status is a UN relationship, not influence. Many accredited NGOs are dormant. | Self-described areas of work, so the migration filter is unreliable. | No bulk export; it has to be scraped, and the site is slow.	https://esango.un.org/civilsociety/	not fetched
irs-990	US IRS Form 990 filings	actors	US Internal Revenue Service, mirrored on AWS Open Data	nonprofit organisation x tax year, full return including grants made	United States, ~1.5 million registered nonprofits	2011 onward for machine-readable e-file data	Continuous as returns are filed	Open bulk XML on AWS S3; ProPublica Nonprofit Explorer as a front end	XML, with derived CSV from Candid and ProPublica	Yes, ProPublica	US public domain	Schedule I lists grants made to named recipients, which yields a funder -> grantee network among US nonprofits. Combined with the NTEE code for international relief and refugee assistance, it gives the US slice of the migration NGO funding network.	revenue, expenses, assets, programme service expenses | grants made, with recipient name, address and purpose | officer compensation | NTEE classification including Q33 international relief and P84 ethnic and immigrant services | foreign activity by region on Schedule F	United States only. | Recipient names are free text with no identifier, so building edges means entity resolution on messy strings. | Filing lags by up to two years. | Small organisations file the 990-N postcard with almost no content, which removes exactly the grassroots groups you would want.	https://registry.opendata.aws/irs990/	not fetched
dst-statbank	Statistics Denmark StatBank	denmark	Danmarks Statistik	varies by table; the migration tables are municipality x country x period x sex x age	Denmark, 98 municipalities and 5 regions, against 242 countries	1980 onward for the annual series; weekly since 2021	Weekly, monthly, quarterly and annual depending on the table	Free REST API, no key, no registration	CSV, JSON, JSON-stat, XLSX	Yes: api.statbank.dk/v1/	Free reuse with attribution	Weighted directed, both directions, at municipality resolution. Denmark is one endpoint and 242 countries are the other, plus a complete 98-node internal migration network between municipalities.	VAN1AAR / VAN1KVT / VAN1UGE: immigrations by municipality, country of last residence, citizenship, sex and age. Annual from 2007, quarterly from 2007Q2, WEEKLY from 2021W52 | VAN2AAR / VAN2KVT: emigrations by country of destination, same breakdowns. A register measures this; almost no other country does | INDVAN / UDVAN: the same flows back to 1980, without the geography | FLY66: internal migration between all 98 municipalities, 2006-2025, by age and sex. A complete city-to-city network | FOLK1C / FOLK2: population by municipality, ancestry and country of origin, quarterly from 2008 and annual from 1980 | VAN5M / VAN5RKAM: asylum applications by citizenship, MONTHLY from 2014M01 | VAN66 / VAN77M: residence permits by citizenship and permit type, annual from 1997 and monthly from 2014. The permit type is the legal pathway, which the global sources never give you | DKSTAT: acquisitions of Danish citizenship by former citizenship, 1979 onward | KRYDS1: a person's origin, own country of birth, and both parents' country of birth and citizenship	One country. Every finding is about Denmark until you show otherwise. | The official 'Western / non-Western' ancestry split is a Danish administrative category with a political history, not a neutral geographic one. Use country of origin and say why. | 'Ancestry' (herkomst) classifies a Danish-born child of two immigrants as a descendant for life, and the category changes if one parent naturalises. It is a legal construct, not a measure of who someone is. | Immigration is counted at register entry, which requires an intended stay of at least three months and a CPR number. Short stays, EU posted workers and undocumented people are outside it entirely. | Small cells are rounded or suppressed for disclosure control, and municipality-by-country cells are mostly small. | Variable codes are Danish even in the English interface (OMRÅDE, KØN, ALDER, INDVLAND, STATSB, Tid), and sex has no total category: request both values or omit the variable.	https://www.statbank.dk/	fetched 2026-09-16: the API answers without a key; VAN1AAR has 105 regions, 242 countries of last residence, 241 citizenships and 19 years, last updated 2026-02-12. The 2024 pull gives Ukraine 8,756, Germany 6,888, USA 6,513, Romania 4,916 and Sweden 4,347 as the top origins.
dst-forskerservice	Statistics Denmark Research Services register microdata	denmark	Danmarks Statistik Forskningsservice	individual, linkable across every register by an anonymised personal key	The entire resident population of Denmark	1980 onward for most registers; some back to 1968	Annual register updates	Authorised research institution, an approved project and a paid remote-desktop environment. DTU is an authorised institution, so access runs through a supervisor's project rather than a course.	SAS, Stata and R inside a locked remote environment; no data leaves it	No	Project-bound agreement	Individual migration histories with exact dates in and out, linkable to family, address, employer, education and income. The richest migration data that exists anywhere, and the hardest to reach.	VNDS: every in-migration and out-migration event with dates and countries | BEF: population register with country of birth, citizenship, family links and address | IDA and RAS: employer-employee links and labour market status | UDDA: completed education, including qualifications gained abroad | IND: income and transfers | Everything joins on the same key, so a migrant's whole trajectory in Denmark is observable	Not usable for a weekly course post. Approval takes months, costs money and needs an institutional project. | Nothing can be exported except aggregated output cleared by the disclosure rules, so no figure with small cells leaves the environment. | It observes people after they arrive. Why they came and what happened to those who did not are both invisible. | People who leave without deregistering keep a live record, so emigration dates carry error even here.	https://www.dst.dk/en/TilSalg/Forskningsservice	not fetched
nyidanmark	Danish Immigration Service and SIRI statistics	denmark	Udlændingestyrelsen and Styrelsen for International Rekruttering og Integration	case: permit or asylum decision by nationality, type and month	Denmark	Mostly 2010 onward, some series longer	Monthly for asylum, annual for the full account	Open download from nyidanmark.dk; the Udlændingedatabasen sits inside StatBank	XLSX, PDF; the StatBank tables are the machine-readable route	Through StatBank	Free reuse with attribution	Origin nationality to Denmark, split by the legal route taken: asylum, family reunification, work, study, EU rules.	asylum applications, decisions and recognition rates by nationality | residence permits by type: work, study, family, EU/EEA, au pair | family reunification decisions and refusals | revocations and returns | unaccompanied minors | quota (resettlement) refugee arrivals	Case counts, not people. One person can generate an application, an appeal and a permit. | Recognition rate computed as decisions over applications in the same month is wrong; decisions lag applications by months. | Published as workbooks whose layout changes between years, so building a panel means parsing. | Denmark's opt-out from EU asylum and migration rules makes several series not comparable with other member states, which is a feature for a comparison and a trap for a pooled analysis.	https://www.nyidanmark.dk/en-GB/Statistics	not fetched
integrationsbarometer	Integrationsbarometer	denmark	Udlændinge- og Integrationsministeriet	municipality x year x indicator	All 98 Danish municipalities	2012 onward	Annual	Open web with downloads	XLSX, web	No	Free reuse with attribution	Node attributes on municipalities, which pairs directly with the FLY66 internal migration network.	employment rate of immigrants and descendants by municipality | education participation and completion | Danish language test results | crime rate among immigrants and descendants | share living in deprived residential areas | naturalisation rate	Indicators chosen by a ministry with a policy position. What is measured is itself an argument. | 'Deprived residential area' is a statutory Danish category with legal consequences, not a neutral descriptor. | Municipality-level, so composition effects drive most cross-municipality differences.	https://integrationsbarometer.dk/	not fetched
folketinget-oda	Folketinget Open Data (oda.ft.dk)	denmark	Folketinget, the Danish parliament	case, document, actor, meeting, vote and speech	The Danish parliament	1990s onward, with full text from around 2009	Continuous, updated daily	Open OData API, no key, no registration	JSON, XML	Yes: oda.ft.dk/api/	Free reuse	Actor-to-case and actor-to-actor networks: who proposed what with whom, who voted together. And the text layer for weeks 5 to 8: every speech about migration, by party and by year.	bills and their full document text | individual voting records per member | committee membership | speeches and meeting transcripts | case status, type and subject classification | actors: members, ministers, parties, committees	Danish. Any NLP on it needs Danish models, and the English tooling in the course will underperform. | The data model is large and awkwardly documented; joining cases to speeches to actors takes real work. | Full text coverage thins out before about 2009. | Parliamentary speech is performance. It measures how migration is talked about, not what was done.	https://oda.ft.dk/	fetched 2026-09-16: the OData endpoint answers without a key.
cvr	Danish Central Business Register (CVR)	denmark	Erhvervsstyrelsen	registered legal entity, including associations and foundations	Every registered organisation in Denmark	Current, with history of changes	Continuous	Free bulk access through Virk's Elasticsearch endpoint after registration; cvrapi.dk for light lookups without one	JSON	Yes	Free reuse	Not a network by itself, but it fixes the worst limitation of the organisation layer in this repo: Wikipedia only has organisations notable enough for an article, while CVR has all of them. For the Danish slice you can have the whole population of migration organisations, not the famous ones.	name, CVR number, founding date, legal form | industry code, including the codes for social work and membership organisations | registered address and municipality | board members and management, which gives an interlock network | annual accounts for entities that file them | status: active, dissolved, bankrupt	Industry codes are self-selected and coarse. There is no 'migration' code, so finding the relevant organisations means filtering on name and purpose text, which is error-prone in both directions. | Small voluntary associations without a CVR number are absent, and many grassroots migrant groups are exactly that. | Bulk access needs a Virk account; the light API is rate-limited. | Board member names without identifiers, so interlocks need entity resolution.	https://datacvr.virk.dk/	fetched 2026-09-16: cvrapi.dk answers a name lookup without a key.
nordic-statistics	Nordic Statistics Database	denmark	Nordic Council of Ministers	Nordic country pair x year, migration and population	Denmark, Sweden, Norway, Finland, Iceland, Faroe Islands, Greenland, Åland	1990 onward for most series	Annual	Open PxWeb API, no key	JSON, CSV, PX	Yes: pxweb.nordicstatistics.org/api/v1/	Free reuse with attribution	A small, complete, harmonised migration network between the Nordic countries, both directions. The Nordic Passport Union has run since 1954, so this is what a migration clique looks like when free movement has had seventy years to work.	migration between Nordic countries by sex and age | immigration from and emigration to the rest of the world | foreign-born population by background | harmonised labour market and education indicators	Eight units. Every network measure on it is descriptive. | Harmonisation across five statistical systems still leaves definitional differences, particularly for who counts as resident. | Mirror statistics between Nordic countries disagree even inside a shared register system.	https://www.nordicstatistics.org/	fetched 2026-09-16: the PxWeb API answers without a key.
dk-dispersal	Danish refugee dispersal policy, 1986-1998	denmark	Research datasets built on Statistics Denmark registers (Damm, and others since)	individual refugee, assigned municipality and subsequent location	Refugees granted asylum in Denmark, 1986-1998	1986-1998 assignment, with outcomes followed for decades after	Static; the policy ended	Through Statistics Denmark Research Services; the published papers document the design	Register extracts	No	Project-bound	Assignment to a municipality was made without regard to a refugee's preferences, which makes it close to random with respect to outcomes. It is one of the cleanest natural experiments in the migration literature, and it is Danish.	assigned municipality and date | co-ethnic network size in the assigned area | subsequent internal moves | employment, earnings, education and crime outcomes over decades	Needs register access, so the same gate as Forskerservice. | The policy ended in 1998 and the cohort is specific: mostly refugees from Iran, Iraq, Lebanon, Sri Lanka, Somalia and Vietnam. | Assignment was conditional on family size and nationality, so it is quasi-random rather than random, and the papers spend their length on exactly that.	https://www.dst.dk/en/TilSalg/Forskningsservice	not fetched
